date,ticker,sentiment_earnings,count_earnings,count_positive_earnings,count_negative_earnings,sentiment_product,count_product,count_positive_product,count_negative_product,sentiment_analyst,count_analyst,count_positive_analyst,count_negative_analyst,sentiment_regulatory,count_regulatory,count_positive_regulatory,count_negative_regulatory,sentiment_macroeconomic,count_macroeconomic,count_positive_macroeconomic,count_negative_macroeconomic,sentiment_m&a,count_m&a,count_positive_m&a,count_negative_m&a,has_earnings_news,has_product_news,has_analyst_news,has_regulatory_news,has_macroeconomic_news,has_m&a_news
2025-11-15,AAPL,0.0,0,0,0,0.5430615505313734,1,1,0,0.0,0,0,0,0.49574040300903605,2,2,0,0.0,0,0,0,0.4396368246595345,6,5,1,0,1,0,1,0,1
2025-11-15,TSLA,0.0,0,0,0,0.6499780310474784,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.7165143586395895,1,1,0,0,1,0,0,0,1
2025-11-15,MSFT,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-0.037687051817090006,2,1,1,0,0,0,0,0,1
2025-11-14,MSFT,0.0,0,0,0,0.0,0,0,0,-0.4245679363797214,1,0,1,0.0,0,0,0,0.0397778789724654,1,1,0,0.39789269385852716,3,3,0,0,0,1,0,1,1
2025-11-14,META,0.0,0,0,0,0.5519451260377537,1,1,0,0.0,0,0,0,0.70391926134016,1,1,0,0.0,0,0,0,-0.104696522484234,3,1,2,0,1,0,1,0,1
2025-11-14,AAPL,0.0,0,0,0,0.0,0,0,0,-0.0218845321493802,1,0,1,0.5568877854503941,1,1,0,0.4384598157256957,1,1,0,0.34955455868698543,5,3,2,0,0,1,1,1,1
2025-11-14,TSLA,0.0,0,0,0,0.2349666284089079,2,1,1,0.5615021741493528,1,1,0,0.0,0,0,0,0.0,0,0,0,0.3861124202232041,2,2,0,0,1,1,0,0,1
2025-11-13,AAPL,0.0,0,0,0,0.5963929506659756,3,3,0,0.7123318004015082,1,1,0,0.0,0,0,0,0.0,0,0,0,0.5806909710488304,2,2,0,0,1,1,0,0,1
2025-11-13,META,0.0,0,0,0,0.6830591221822405,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.3608607553776075,3,2,1,0,1,0,0,0,1
2025-11-13,TSLA,0.0,0,0,0,0.31800885576690596,2,2,0,0.0,0,0,0,-0.2182008912137471,1,0,1,-0.05404965971209961,2,1,1,0.5277212555875296,3,3,0,0,1,0,1,1,1
2025-11-13,MSFT,-0.6383730216859616,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-0.07281165419022835,4,1,3,1,0,0,0,0,1
2025-11-12,MSFT,0.0,0,0,0,0.5616171260548805,1,1,0,-0.1171842535899324,1,0,1,0.0,0,0,0,0.4636957516029942,1,1,0,0.5146372171480496,2,2,0,0,1,1,0,1,1
2025-11-12,AAPL,0.7123920878890428,1,1,0,0.045346496743889075,2,1,1,0.561626269153137,1,1,0,0.0,0,0,0,0.0,0,0,0,0.525119881311139,3,3,0,1,1,1,0,0,1
2025-11-12,TSLA,0.0,0,0,0,0.6203516738061234,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.056444691570885386,2,1,1,0,1,0,0,0,1
2025-11-11,TSLA,0.0,0,0,0,0.14688964330943086,2,1,1,-0.5499020618847754,1,0,1,-0.2829169096760671,1,0,1,0.0,0,0,0,0.20598046158073643,2,1,1,0,1,1,1,0,1
2025-11-11,AAPL,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.5991994229680874,1,1,0,0.0,0,0,0,0.04845574556954296,3,1,2,0,0,0,1,0,1
2025-11-11,MSFT,0.0,0,0,0,0.0,0,0,0,-0.4754699958218668,1,0,1,0.0,0,0,0,0.0,0,0,0,0.47971581740055536,5,4,1,0,0,1,0,0,1
2025-11-10,TSLA,0.0,0,0,0,0.11111592457064814,2,1,1,0.5869912031575457,1,1,0,0.0,0,0,0,0.0,0,0,0,0.5929680115660018,3,3,0,0,1,1,0,0,1
2025-11-10,AAPL,0.0,0,0,0,0.6203521772086549,1,1,0,0.3924233744586328,2,2,0,0.5615807579252999,1,1,0,0.0,0,0,0,0.21649040456654714,6,4,2,0,1,1,1,0,1
2025-11-09,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.5241391216829362,2,2,0,0,0,0,0,0,1
2025-11-08,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.11312008959391233,3,2,1,0,0,0,0,0,1
2025-11-08,AAPL,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.3137350714797504,1,1,0,0,0,0,0,0,1
2025-11-07,AAPL,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-0.0172886929211498,1,0,1,0.0,0,0,0,-0.03730016865148847,3,0,3,0,0,0,1,0,1
2025-11-07,TSLA,0.0,0,0,0,0.026414364382792488,2,1,1,0.5309987488154496,1,1,0,0.47970292360168576,2,2,0,0.0,0,0,0,0.13206080583141272,7,3,4,0,1,1,1,0,1
2025-11-06,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.5615118208461398,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0
2025-11-06,AAPL,0.0,0,0,0,0.8500278815673682,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.6275588816282591,2,2,0,0,1,0,0,0,1
2025-11-05,AAPL,-0.17281056518417143,2,1,1,0.4325328880832064,1,1,0,-0.1574040350068304,1,0,1,0.6961159108198647,1,1,0,0.2272001766724864,1,1,0,-0.09692873598453307,3,1,2,1,1,1,1,1,1
